url,product,question
"https://docs.cloud.google.com/run/docs/overview/what-is-cloud-run","cloud_run","What is Cloud Run and when should I use it?"
"https://docs.cloud.google.com/run/docs/container-contract","cloud_run","What must a container do to start and serve on Cloud Run (listen on $PORT, respond within the request timeout)?"
"https://docs.cloud.google.com/run/docs/configuring","cloud_run","How do I configure memory, CPU, concurrency, and request timeout for a Cloud Run service?"
"https://docs.cloud.google.com/run/docs/deploying","cloud_run","How do I deploy a container image to Cloud Run?"
"https://docs.cloud.google.com/run/docs/quickstarts","cloud_run","How do I deploy my first Cloud Run service?"
"https://docs.cloud.google.com/run/docs/triggering/https-request","cloud_run","How do I run a REST API backend on Cloud Run that serves HTTP requests?"
"https://docs.cloud.google.com/run/docs/mapping-custom-domains","cloud_run","How do I map a custom domain to a Cloud Run service?"
"https://docs.cloud.google.com/run/docs/securing/identity-aware-proxy-cloud-run","cloud_run","How do I add authentication to a Cloud Run app with Identity-Aware Proxy?"
"https://docs.cloud.google.com/run/docs/reference/iam/roles","cloud_run","What IAM roles and permissions does Cloud Run use?"
"https://docs.cloud.google.com/run/docs/troubleshooting","cloud_run","Why is my Cloud Run service returning 503 errors, getting out-of-memory killed, or failing liveness probes?"
"https://docs.cloud.google.com/run/docs/tutorials/local-troubleshooting","cloud_run","How do I debug a deployed Cloud Run service that returns 500 or 503 errors?"
"https://docs.cloud.google.com/sql/docs/postgres/connect-run","cloud_sql","How do I connect a Cloud Run service to a Cloud SQL for PostgreSQL instance?"
"https://docs.cloud.google.com/sql/docs/postgres/connect-instance-cloud-run","cloud_sql","How do I connect to Cloud SQL for PostgreSQL from Cloud Run, using public or private IP?"
"https://docs.cloud.google.com/sql/docs/postgres/debugging-connectivity","cloud_sql","How do I debug why my application cannot connect to a Cloud SQL for PostgreSQL instance?"
"https://docs.cloud.google.com/sql/docs/postgres/troubleshooting","cloud_sql","What are common Cloud SQL for PostgreSQL problems (connectivity, instances, flags) and how do I fix them?"
"https://docs.cloud.google.com/iam/docs/overview","iam","How does IAM work — what are principals, roles, resources, and allow policies?"
"https://docs.cloud.google.com/iam/docs/roles-overview","iam","What are IAM roles and permissions, and how do basic, predefined, and custom roles differ?"
"https://docs.cloud.google.com/iam/docs/service-account-overview","iam","What is a service account and how does an application authenticate as one?"
"https://docs.cloud.google.com/iam/docs/resolve-permission-errors","iam","How do I resolve an IAM permission-denied error?"
"https://docs.cloud.google.com/iam/docs/troubleshoot-policies","iam","How do I use Policy Troubleshooter to find why a principal cannot access a resource?"
